titel,sender,lb_rating,lb_director,lb_year,lb_url,datum_gesehen
Bad Education,ARTE.DE,3.96,Pedro Almodóvar,,https://letterboxd.com/film/bad-education/,
The White Horse Inn,ARD,3.34,Werner Jacobs,,https://letterboxd.com/film/the-white-horse-inn-1960/,
Canary Black,ZDF,2.28,Pierre Morel,,https://letterboxd.com/film/canary-black/,
The Moon Has Risen,ARTE.DE,3.77,Kinuyo Tanaka,,https://letterboxd.com/film/the-moon-has-risen/,
Elephant Walk,ARTE.DE,3.11,William Dieterle,,https://letterboxd.com/film/elephant-walk/,
The Wandering Princess,ARTE.DE,3.42,Kinuyo Tanaka,,https://letterboxd.com/film/the-wandering-princess/,
Mama Weed,ARD,3.12,Jean-Paul Salomé,,https://letterboxd.com/film/mama-weed/,
Hard Eight,ARTE.DE,3.62,Paul Thomas Anderson,,https://letterboxd.com/film/hard-eight/,
Bibi & Tina: Simply Different,ZDF-tivi,2.47,Detlev Buck,,https://letterboxd.com/film/bibi-tina-simply-different/,
Love Under the Crucifix,ARTE.DE,3.55,Kinuyo Tanaka,,https://letterboxd.com/film/love-under-the-crucifix/,
Live Flesh,ARTE.DE,3.7,Pedro Almodóvar,,https://letterboxd.com/film/live-flesh/,
Sad Jokes,ARTE.DE,3.41,Fabian Stumm,,https://letterboxd.com/film/sad-jokes/,
Songs Within,ARTE.DE,3.31,Katalin Gödrös,,https://letterboxd.com/film/songs-within/,
Empty Nets,ARTE.DE,3.26,Behrooz Karamizade,,https://letterboxd.com/film/empty-nets/,
Shock,ARTE.DE,3.32,Mario Bava,,https://letterboxd.com/film/shock-1977/,
Two Friends,ARTE.DE,3.27,Jane Campion,,https://letterboxd.com/film/two-friends/,
The Unfaithful Wife,ARTE.DE,3.76,Claude Chabrol,,https://letterboxd.com/film/the-unfaithful-wife/,
Driving Miss Daisy,ARTE.DE,3.33,Bruce Beresford,,https://letterboxd.com/film/driving-miss-daisy/,
Wedding in Blood,ARTE.DE,3.51,Claude Chabrol,,https://letterboxd.com/film/wedding-in-blood/,
Marinette,ZDF,3.35,Virginie Verrier,,https://letterboxd.com/film/marinette/,
The Teachers' Lounge,ZDF,3.77,İlker Çatak,,https://letterboxd.com/film/the-teachers-lounge-2023/,
Old Henry,ARD,3.64,Potsy Ponciroli,,https://letterboxd.com/film/old-henry/,
Killer Heat,ZDF,2.4,Philippe Lacôte,,https://letterboxd.com/film/killer-heat/,
The Siren,ARTE.DE,3.43,Sepideh Farsi,,https://letterboxd.com/film/the-siren-2023/,
